gene,RRH109,RRH110,RRH111,RRH115,RRH116,RRH117,RRH121,RRH122,RRH123
ENSRNOG00000032447,5.166355404,5.477556922,5.814135113,4.795373288,4.937602086,7.310954145,4.487383246,3.654875011,4.394631309
ENSRNOG00000032459,62.05667586,60.23923922,57.44385971,73.01981249,62.06704767,77.69167602,31.06571586,46.42331322,32.54370144
ENSRNOG00000032463,21.2248167,23.95048338,25.78825437,24.67104809,24.76315398,20.73232116,31.11056537,24.84013774,24.71615621
ENSRNOG00000032471,7.074170627,9.484475108,10.64115493,6.747631625,8.807759321,6.888064127,10.11901773,8.611791902,8.788940935
ENSRNOG00000032472,0.160059422,0.327492753,0.287705013,0.330146632,0.219840561,0.162694659,0.180569115,0.349971576,0.154497082
ENSRNOG00000032473,0.062854799,0.091192854,0.141471603,0.059485313,0.120862912,0.129376536,0.119658745,0.028764976,0.072804584
ENSRNOG00000032479,0.439361382,0.532982647,0.779296809,0.257272715,0.2536281,0.174754596,0.224259333,0.241866916,0.276582273
ENSRNOG00000032484,0.452414873,0.504912228,0.636425727,0.219570287,0,0.517346418,0.622033431,0.391082937,0.436692678
ENSRNOG00000032487,4.808872429,4.80976871,3.909063621,3.379695495,4.235703286,3.957795241,5.173997858,4.777155308,5.589380739
ENSRNOG00000032492,51.0462736,46.45837752,43.00448604,42.6352184,46.24085938,47.78099126,42.64559697,51.08758816,43.35814169
ENSRNOG00000032516,18.22910135,10.26725284,11.50359473,8.433703927,7.955857183,10.52009872,16.8651742,14.18987118,18.2533885
ENSRNOG00000032519,4.244999123,4.01244079,3.534193932,2.522722451,2.855744481,1.684127703,4.013184591,3.74000591,4.076572604
ENSRNOG00000032522,0.938375537,0.72853067,0.516537915,0.118805566,0.037358047,0.373235893,0.466021655,0.062237648,0.590716548
ENSRNOG00000032531,0.11405417,0.445510789,0.08022173,0.124546171,0.05221755,0.391270401,0.180940558,0.313175659,0.082567943
ENSRNOG00000032539,0.951216215,1.326991903,0.854900231,0.365475527,0.459690645,0.423008752,1.039568675,0.201535277,0.726876521
ENSRNOG00000032542,37.12463219,18.44414668,25.94370759,24.93414352,20.39617504,16.98113538,27.20622237,25.35678919,18.03283881
ENSRNOG00000032546,8.897139791,11.84257882,15.88406342,14.24657564,21.1517192,22.19939877,6.017141093,25.71481185,6.953087056
ENSRNOG00000032550,0.066207055,0.147779189,0.186270945,0.096396712,0.060623302,0,0.378121635,0.242392868,0.095859368
ENSRNOG00000032552,3.876100479,4.315673219,3.523632338,3.67363669,3.708243266,3.219767113,3.254443847,2.234066056,3.719339185
ENSRNOG00000032554,8.732941239,9.94934283,6.040072585,14.9137084,12.26118472,16.47741408,4.918284543,4.240792108,5.637199044
ENSRNOG00000032561,2.726425826,2.797554859,2.724812928,3.13424187,2.772216476,2.47556931,2.313724498,2.309224477,2.403860953
ENSRNOG00000032574,18.83241579,19.05450212,18.14315855,14.51160715,18.66535236,20.081568,15.05554197,16.70482414,16.65123687
ENSRNOG00000032575,15.18933759,13.31651119,11.20662694,12.86204558,11.83340497,19.27227875,12.64953871,11.59085808,12.04702192
ENSRNOG00000032576,0.193431537,0.233866709,0.340132515,0.011734754,0.02951966,0,0.102289437,0.177044672,0.023338682
ENSRNOG00000032585,6.201593683,5.688373363,5.534268461,11.23037748,9.458360435,11.78988411,6.899235075,8.490672586,6.453739955
ENSRNOG00000032590,11.02141006,12.47621828,10.69195222,5.222939676,7.200092685,6.461823653,7.757050152,7.852529805,8.325334599
ENSRNOG00000032593,82.88724654,69.55630324,66.53735195,119.0966863,90.85993417,108.3832095,63.83244018,67.45892142,56.98182215
ENSRNOG00000032595,113.1987633,80.25558648,105.0904667,100.7993681,80.98942009,83.60144225,100.3496337,97.39762994,102.4668176
ENSRNOG00000032596,1.508049575,1.855660325,1.577465478,1.154151511,0.77894898,1.149658708,1.374117244,1.333103224,1.343669778
ENSRNOG00000032605,20.70881837,12.9515569,17.16942134,14.6389183,12.64152246,13.27050764,15.4268053,15.50540126,14.48489226
ENSRNOG00000032608,3.855682669,3.969228372,2.711952895,3.653828824,3.500067782,5.245259198,3.374799902,2.372976707,3.031894877
ENSRNOG00000032618,3.158846951,2.017678042,2.165928006,1.844036874,1.819142753,2.430859239,2.086479919,1.263781062,2.157361972
ENSRNOG00000032625,2.85194799,2.967822939,3.551092912,2.903876802,2.981960668,2.291700178,3.717390806,1.710831345,3.794452231
ENSRNOG00000032626,0.055815406,0.062292119,0.274810287,0.426649599,0.178878215,1.404175337,0.053128811,0.102173827,0
ENSRNOG00000032630,8.328546517,9.746814173,8.787014302,10.52627443,10.27409966,7.407460083,11.12075065,8.011187572,10.63507949
ENSRNOG00000032635,174.2255606,147.2670695,158.2492672,168.9487371,143.2230929,154.1679995,167.0097314,168.7050026,177.2821329
ENSRNOG00000032639,1.022192599,0.641703302,0.569188281,0.403081438,0.740986698,0.68185825,0.594605501,0.662713764,0.555001677
ENSRNOG00000032642,0.044150001,0.049273083,0.015526787,0.016070474,0.050533113,0,0.063037356,0.026939842,0
ENSRNOG00000032656,0.049500064,0.157839877,0.089528454,0.102959322,0.161876219,0.064690764,0.062823266,0.045306586,0.01023854
ENSRNOG00000032659,7.474141592,9.102253315,7.253509658,3.140155891,3.926950511,2.381210912,6.268838498,5.2715837,5.617183896
ENSRNOG00000032660,30.41784311,37.21194605,33.05335505,26.75776831,30.85777187,30.27654318,28.78814937,26.86892238,27.97557864
ENSRNOG00000032663,1.26364154,0.391742246,0.296267149,0.511068772,0.835660861,0.481667355,0.579134574,0.621131724,0.304931956
ENSRNOG00000032666,0.489391088,0.109235819,0.82612955,0.641293027,0.448116956,1.343110894,1.118003874,0.686828348,0.425145516
ENSRNOG00000032668,2.792560828,3.31767548,3.041326484,3.606879168,3.299409798,2.26625201,4.001508457,2.63843564,2.34770621
ENSRNOG00000032677,21.70213475,19.47518594,18.85740045,19.53920799,20.89921294,21.74430632,18.49341095,15.48550302,17.057615
